Ime,Znamka,Letnik,Prevoženi kilometri,Tip goriva,Tip menjalnika,Moč motorja,Cena
VW Arteon,VW,2019,1 km,Dizel,Ročni,,Cena po dogovoru
Renault Twingo,Renault,2019,110.000 km,Bencin,Ročni,,Cena po dogovoru
BMW Serija 5,BMW,2012,293.200 km,Dizel,Avtomatski,,Cena po dogovoru
BMW Serija 4,BMW,2018,177.000 km,Bencin,Ročni,,Cena po dogovoru
VW Golf,VW,2022,75.137 km,Dizel,Avtomatski,,Cena po dogovoru
Škoda Octavia,Škoda,2021,117.833 km,Dizel,Avtomatski,,23.500 €
BMW Serija 5,BMW,2017,281.000 km,Dizel,Avtomatski,,Cena po dogovoru
KG Mobility Korando,KG,2024,31.000 km,Bencin,Ročni,,17.690 €
BMW Serija 5,BMW,2025,7.980 km,Hibrid,Avtomatski,,Cena po dogovoru
Peugeot 5008,Peugeot,2022,133.500 km,Dizel,Avtomatski,,19.880 €
Mercedes,Mercedes,2002,198.000 km,Bencin,Avtomatski,,Cena po dogovoru
Ford S,Ford,2013,185.000 km,Dizel,Avtomatski,,6.980 €
Ford Focus,Ford,2015,211.000 km,Bencin,Ročni,,11.990 €
BMW Serija 5,BMW,2021,223.000 km,Dizel,Avtomatski,,Cena po dogovoru
Citroën Nemo,Citroën,2010,160.000 km,Dizel,Ročni,,Cena po dogovoru
