Ime,Znamka,Letnik,Prevoženi kilometri,Tip goriva,Tip menjalnika,Moč motorja,Cena,Prodajalec
Peugeot 308,Peugeot,2019,8500,Dizel,Avtomatski,131,8500,Pravna oseba
BMW X1,BMW,2022,166780,Dizel,Avtomatski,150,18880,Pravna oseba
Opel Crossland,Opel,2023,87620,Dizel,Ročni,110,12980,Pravna oseba
Citroën C3,Citroën,2021,104500,Bencin,Ročni,83,6680,Pravna oseba
BMW Serija 3,BMW,2020,183500,Dizel,Avtomatski,190,16480,Pravna oseba
BMW X1,BMW,2021,171496,Dizel,Avtomatski,150,17880,Pravna oseba
Škoda Octavia,Škoda,2022,125000,Dizel,Ročni,116,16880,Pravna oseba
Ford Kuga,Ford,2022,113905,Hibrid,Avtomatski,190,18780,Pravna oseba
Volvo V90,Volvo,2018,162805,Dizel,Avtomatski,150,18480,Pravna oseba
Nissan Qashqai,Nissan,2023,79000,Bencin,Avtomatski,190,23480,Pravna oseba
Toyota Auris,Toyota,2018,159933,Hibrid,Avtomatski,136,13480,Pravna oseba
Opel Grandland X,Opel,2022,99908,Dizel,Avtomatski,131,14880,Pravna oseba
Smart Smart forfour,Smart,2022,29500,,Avtomatski,82,10480,Pravna oseba
Peugeot 308,Peugeot,2018,144900,Dizel,Avtomatski,179,11880,Pravna oseba
Hyundai Tucson,Hyundai,2024,36800,Bencin,Avtomatski,150,23880,Pravna oseba
Škoda Octavia,Škoda,2022,144075,Dizel,Avtomatski,116,16980,Pravna oseba
KIA Sportage,KIA,2021,109779,Dizel,Avtomatski,136,15780,Pravna oseba
Mazda CX-60,Mazda,2023,89878,Dizel,Avtomatski,249,30880,Pravna oseba
Audi A4,Audi,2020,188920,Dizel,Avtomatski,163,15980,Pravna oseba
Ford Focus,Ford,2025,26650,Dizel,Avtomatski,116,22980,Pravna oseba
Mitsubishi Eclipse Cross,Mitsubishi,2019,108180,Dizel,Avtomatski,150,14880,Pravna oseba
Volkswagen Golf,Volkswagen,1988,168000,Bencin,Ročni,139,13800,Pravna oseba
BMW Serija 1,BMW,2020,130000,Dizel,Ročni,116,14980,Pravna oseba
Nissan Qashqai,Nissan,2022,122407,Bencin,Avtomatski,158,17280,Pravna oseba
Škoda Citigo,Škoda,2018,98644,Bencin,Ročni,60,5480,Pravna oseba
BMW serija 5:,BMW,2010,226233,Dizel,Ročni,184,7999,Pravna oseba
Ford Kuga,Ford,2019,110436,Dizel,Avtomatski,120,13450,Pravna oseba
Mazda CX-30,Mazda,2021,98000,Bencin,Avtomatski,179,21880,Pravna oseba
BMW Serija 3,BMW,2021,163020,Dizel,Avtomatski,150,18980,Pravna oseba
Volvo XC40,Volvo,2021,76799,Hibrid,Avtomatski,262,24880,Pravna oseba
BMW X1,BMW,2021,169215,Dizel,Avtomatski,150,17980,Pravna oseba
Seat Leon,Seat,2015,189900,Dizel,Avtomatski,105,7880,Pravna oseba
KIA Sportage,KIA,2023,71088,Dizel,Avtomatski,136,21480,Pravna oseba
BMW Serija 5,BMW,2025,23200,Dizel,Avtomatski,286,56980,Pravna oseba
Ford Fiesta,Ford,2014,160500,Bencin,Ročni,97,4880,Pravna oseba
Škoda Karoq,Škoda,2019,108818,Dizel,Avtomatski,116,16880,Pravna oseba
BMW iX,BMW,2025,8755,,Avtomatski,204,38000,Pravna oseba
BMW Serija 2,BMW,2024,95800,Bencin,Avtomatski,136,24680,Pravna oseba
BMW Serija 5,BMW,2017,140660,Dizel,Avtomatski,190,18880,Pravna oseba
Ford Kuga,Ford,2021,129508,Dizel,Ročni,150,15880,Pravna oseba
KIA Sportage,KIA,2023,63686,Dizel,Avtomatski,136,20980,Pravna oseba
Opel Insignia,Opel,2012,299589,Dizel,Avtomatski,160,2480,Pravna oseba
MINI Cooper,MINI,2017,105000,Dizel,Avtomatski,143,15680,Pravna oseba
BMW X6,BMW,2025,7630,Dizel,Avtomatski,298,91880,Pravna oseba
Audi A4,Audi,2021,169855,Dizel,Avtomatski,204,18880,Pravna oseba
Peugeot 2008,Peugeot,2016,132629,Dizel,Ročni,99,7880,Pravna oseba
Seat Ateca,Seat,2022,133988,Dizel,Avtomatski,150,19980,Pravna oseba
Volkswagen Golf,Volkswagen,1988,168000,Bencin,Ročni,139,13800,Pravna oseba
Volkswagen Tiguan,Volkswagen,2018,128807,Dizel,Avtomatski,150,16980,Pravna oseba
Renault Clio,Renault,2017,183245,Dizel,Ročni,75,5480,Pravna oseba
Mercedes-Benz A-Razred,Mercedes-Benz,2015,238757,Dizel,Avtomatski,136,9980,Pravna oseba
Mercedes-Benz GLB-Razred,Mercedes-Benz,2020,159405,Dizel,Avtomatski,116,22490,Pravna oseba
Volvo V60,Volvo,2021,158894,Dizel,Avtomatski,197,17880,Pravna oseba
Renault Espace,Renault,2015,131000,Dizel,Avtomatski,160,10880,Pravna oseba
BMW X2,BMW,2023,124390,Dizel,Avtomatski,150,20880,Pravna oseba
Ford Kuga,Ford,2023,84067,Dizel,Avtomatski,120,19980,Pravna oseba
Ford S-MAX,Ford,2022,125000,Dizel,Avtomatski,150,19480,Pravna oseba
BMW X3,BMW,2021,13500,Dizel,Avtomatski,286,39880,Pravna oseba
Ford Kuga,Ford,2022,116221,Dizel,Ročni,150,16480,Pravna oseba
BMW X1,BMW,2022,159207,Dizel,Avtomatski,150,18880,Pravna oseba
BMW X1,BMW,2021,133955,Dizel,Avtomatski,150,19980,Pravna oseba
BMW X1,BMW,2022,76107,Hibrid,Avtomatski,220,21480,Pravna oseba
BMW X1,BMW,2022,161049,Dizel,Avtomatski,150,19880,Pravna oseba
Mazda CX-5,Mazda,2022,120995,Dizel,Avtomatski,184,22880,Pravna oseba
Toyota RAV4,Toyota,2020,56000,Hibrid,Avtomatski,178,31480,Pravna oseba
Toyota RAV4,Toyota,2021,150000,Hibrid,Avtomatski,178,23980,Pravna oseba
Renault Espace,Renault,2018,176000,Dizel,Ročni,131,9980,Pravna oseba
Seat Leon,Seat,2023,136188,Dizel,Ročni,116,15880,Pravna oseba
Maserati Quattroporte,Maserati,2007,191113,Bencin,Avtomatski,400,17990,Pravna oseba
Volkswagen Touareg,Volkswagen,2016,112400,Dizel,Avtomatski,204,21880,Pravna oseba
Škoda Octavia,Škoda,2023,120640,Dizel,Avtomatski,116,17880,Pravna oseba
Fiat Tipo,Fiat,2021,72362,Dizel,Ročni,131,12480,Pravna oseba
Ford S-MAX,Ford,2017,266000,Dizel,Avtomatski,179,8880,Pravna oseba
